"Vulnerability_ID","Package","Vulnerability","Severity","CVSS","Fix"
"CVE-2026-0101","lodash","Prototype Pollution","High",8.1,"Upgrade package"
"CVE-2026-0102","axios","SSRF Vulnerability","Critical",9.1,"Upgrade package"
"CVE-2026-0103","jsonwebtoken","Weak Token Validation","High",7.5,"Upgrade package"
"CVE-2026-0104","jquery","Cross-Site Scripting","High",8,"Upgrade package"
"CVE-2026-0105","moment","Path Manipulation","Medium",6.2,"Upgrade package"
"CVE-2026-0106","log4j","Remote Code Execution","Critical",9.8,"Upgrade package"
"CVE-2026-0107","spring-core","Authentication Bypass","Critical",9,"Upgrade package"
"CVE-2026-0108","jackson","Deserialization Issue","High",8.2,"Upgrade package"
"CVE-2026-0109","requests","Certificate Validation Issue","Medium",5.8,"Upgrade package"
"CVE-2026-0110","flask","Session Security Issue","Medium",6.4,"Upgrade package"
"CVE-2026-0111","openssl","Memory Corruption","High",7.9,"Upgrade package"
"CVE-2026-0112","sqlite","Input Validation Issue","Low",3.5,"Upgrade package"
