"Vulnerability_ID","Application","Asset","Vulnerability_Type","CVSS","Exploitability","Impact","Detection_Source","Status","Remediation_Days","Risk_Score","Severity","SLA_Limit","SLA_Status"
"VUL-077","Mobile API","API Gateway","Sensitive Data Exposure",9.3,7.6,9.6,"SAST","Open",34,67.85,"Critical",7,"SLA Breached"
"VUL-013","Authentication Service","Web Server","SQL Injection",9.7,6.9,9.7,"DAST","In Progress",34,64.92,"Critical",7,"SLA Breached"
"VUL-062","Authentication Service","Database Server","SQL Injection",9.3,9.9,7,"DAST","In Progress",10,64.45,"Critical",7,"SLA Breached"
"VUL-004","Mobile API","Web Server","Access Control",6.9,6.4,9.8,"SCA","Open",41,43.28,"Medium",30,"SLA Breached"
"VUL-021","Web Application","Cloud Container","Broken Authentication",7,5.8,10,"Container Scan","In Progress",36,40.6,"High",14,"SLA Breached"
"VUL-040","Customer Portal","Database Server","SQL Injection",7.4,7.9,6.8,"SAST","In Progress",22,39.75,"High",14,"SLA Breached"
"VUL-003","Mobile API","Database Server","Access Control",8.9,9.3,4.5,"Penetration Test","Open",42,37.25,"High",14,"SLA Breached"
"VUL-050","Mobile API","API Gateway","Dependency Vulnerability",9.4,6,5.7,"Container Scan","Open",30,32.15,"Critical",7,"SLA Breached"
"VUL-075","Web Application","Web Server","Command Injection",9.3,5.9,5.7,"SAST","Open",45,31.28,"Critical",7,"SLA Breached"
"VUL-085","Authentication Service","Production Server","Access Control",9.2,3.5,9.6,"Container Scan","In Progress",15,30.91,"Critical",7,"SLA Breached"
"VUL-005","Web Application","Cloud Container","Broken Authentication",7,5.6,7.4,"SAST","Open",23,29.01,"High",14,"SLA Breached"
"VUL-059","Authentication Service","API Gateway","Command Injection",5.4,8.8,5.9,"SAST","Open",45,28.04,"Medium",30,"SLA Breached"
"VUL-022","Payment Service","Database Server","Command Injection",8.8,8.5,3.7,"SAST","Open",32,27.68,"High",14,"SLA Breached"
"VUL-069","Authentication Service","API Gateway","Access Control",6.2,4.8,8.7,"Penetration Test","Open",41,25.89,"Medium",30,"SLA Breached"
"VUL-055","Authentication Service","API Gateway","Dependency Vulnerability",8.5,6.6,4.6,"SAST","Open",25,25.81,"High",14,"SLA Breached"
"VUL-032","Payment Service","Database Server","Access Control",9.4,4.6,4.8,"Penetration Test","In Progress",13,20.76,"Critical",7,"SLA Breached"
"VUL-024","Customer Portal","Web Server","SQL Injection",7.7,2.8,8.3,"Container Scan","In Progress",23,17.89,"High",14,"SLA Breached"
"VUL-100","Payment Service","Cloud Container","XSS",8.6,8.1,2.3,"SCA","In Progress",21,16.02,"High",14,"SLA Breached"
"VUL-067","Authentication Service","Cloud Container","SQL Injection",5,6.1,4.1,"Container Scan","Open",39,12.5,"Medium",30,"SLA Breached"
"VUL-002","Customer Portal","Production Server","Sensitive Data Exposure",9.3,6,2.2,"Penetration Test","In Progress",10,12.28,"Critical",7,"SLA Breached"
"VUL-010","Authentication Service","Web Server","XSS",4.9,7.4,3.2,"Penetration Test","In Progress",36,11.6,"Medium",30,"SLA Breached"
"VUL-025","Web Application","Production Server","Insecure Configuration",4.5,2,7.5,"Container Scan","Open",33,6.75,"Medium",30,"SLA Breached"
"VUL-051","Web Application","Web Server","XSS",8.4,1.1,7.2,"Penetration Test","Open",44,6.65,"High",14,"SLA Breached"
"VUL-066","Mobile API","Database Server","Dependency Vulnerability",7.3,4.4,1.8,"Penetration Test","Open",20,5.78,"High",14,"SLA Breached"
"VUL-052","Authentication Service","Database Server","Broken Authentication",7.7,4.4,1.4,"Container Scan","Open",45,4.74,"High",14,"SLA Breached"
"VUL-094","Customer Portal","Web Server","XSS",7.7,2.4,1.6,"SAST","Open",40,2.96,"High",14,"SLA Breached"
"VUL-057","Authentication Service","Production Server","Access Control",4.3,4.8,1.1,"SAST","In Progress",37,2.27,"Medium",30,"SLA Breached"
