"Vulnerability_ID","Application","Asset","Vulnerability_Type","CVSS","Severity","Exploitability","Impact","Risk_Score","Status","SLA_Status"
"VUL-077","Mobile API","API Gateway","Sensitive Data Exposure",9.3,"Critical",7.6,9.6,67.85,"Open","SLA Breached"
"VUL-013","Authentication Service","Web Server","SQL Injection",9.7,"Critical",6.9,9.7,64.92,"In Progress","SLA Breached"
"VUL-062","Authentication Service","Database Server","SQL Injection",9.3,"Critical",9.9,7,64.45,"In Progress","SLA Breached"
"VUL-043","Mobile API","Database Server","Dependency Vulnerability",9.9,"Critical",7.3,8.6,62.15,"Resolved","Within SLA"
"VUL-089","Web Application","Database Server","Sensitive Data Exposure",6.8,"Medium",8,10,54.4,"Resolved","Within SLA"
"VUL-039","Web Application","Database Server","Insecure Configuration",6.8,"Medium",6.6,9.9,44.43,"Open","Within SLA"
"VUL-086","Customer Portal","Cloud Container","Sensitive Data Exposure",5.1,"Medium",9.9,8.8,44.43,"Open","Within SLA"
"VUL-097","Web Application","Cloud Container","SQL Injection",6.6,"Medium",9.3,7.1,43.58,"Open","Within SLA"
"VUL-004","Mobile API","Web Server","Access Control",6.9,"Medium",6.4,9.8,43.28,"Open","SLA Breached"
"VUL-048","Customer Portal","Cloud Container","Command Injection",6.9,"Medium",8.2,7.2,40.74,"Open","Within SLA"
