"Job_ID","Pipeline_ID","Scan_Type","Severity","Vulnerability_Count","Arrival_Time_Min","Service_Time_Min","Risk_Score","Developer_Experience","Code_Change_Size","Severity_Score","Vulnerability_Normalized","Risk_Normalized","Waiting_Factor","GatekeeperX_Priority_Score","Priority_Class","Security_Decision","Queue_Position"
1,"PL-0049","SAST","High",8,0.11,5.61,84.03,"Junior","Medium",75,50,84.03,0.00438446146855544,64.76,"P2 - High","WAIT / PRIORITIZE",256
2,"PL-0153","SCA","Medium",3,0.34,2.17,48.76,"Senior","Large",50,18.75,48.76,0.0135519718118986,38.44,"P4 - Low","PASS WITH MONITORING",714
3,"PL-0074","SAST","Medium",2,2.28,2.71,53.39,"Intermediate","Small",50,12.5,53.39,0.0908779286209673,38.36,"P4 - Low","PASS WITH MONITORING",717
4,"PL-0228","SAST","Low",1,3.99,3.78,27.6,"Junior","Large",25,6.25,27.6,0.159036375086693,19.42,"P4 - Low","PASS",977
5,"PL-0146","IaC","Low",4,13.04,4.17,18.74,"Junior","Small",25,25,18.74,0.519757977726936,20.99,"P4 - Low","PASS",946
6,"PL-0122","SCA","Medium",4,13.48,3.13,36.54,"Junior","Small",50,25,36.54,0.537295823601157,36.69,"P4 - Low","PASS",738
7,"PL-0049","SCA","Medium",5,14.71,3.04,41.73,"Senior","Medium",50,31.25,41.73,0.586322074567732,39.24,"P4 - Low","PASS WITH MONITORING",695
8,"PL-0128","DAST","High",5,16.42,7.19,74.06,"Junior","Medium",75,31.25,74.06,0.654480521033457,58.58,"P3 - Medium","WAIT / PRIORITIZE",334
9,"PL-0024","SAST","Medium",2,18.02,5.11,61.09,"Intermediate","Medium",50,12.5,61.09,0.718254506030627,40.34,"P3 - Medium","PASS WITH MONITORING",673
10,"PL-0089","SAST","Medium",2,18.97,3.68,43.38,"Junior","Small",50,12.5,43.38,0.756120309622697,35.92,"P4 - Low","PASS WITH MONITORING",742
11,"PL-0165","IaC","Critical",15,19.12,6.28,100,"Intermediate","Large",100,93.75,100,0.762099120716182,88.83,"P1 - Critical","BLOCK",24
12,"PL-0110","SAST","Low",4,21.78,3.66,30.12,"Intermediate","Small",25,25,30.12,0.868123370773977,23.87,"P4 - Low","PASS",880
13,"PL-0020","DAST","Critical",4,21.8,5.77,100,"Junior","Small",100,25,100,0.868920545586442,75.09,"P2 - High","BLOCK",118
14,"PL-0297","Container","Medium",4,21.82,5.97,55.21,"Intermediate","Small",50,25,55.21,0.869717720398906,41.39,"P3 - Medium","PASS WITH MONITORING",650
15,"PL-0089","SCA","High",9,26.88,4.3,70.46,"Junior","Large",75,56.25,70.46,1.07140294795246,62.72,"P2 - High","WAIT / PRIORITIZE",285
16,"PL-0283","SCA","Low",3,29.85,3.29,17.34,"Senior","Medium",25,18.75,17.34,1.18978340760345,19.45,"P4 - Low","PASS",974
17,"PL-0109","IaC","Critical",4,32.59,2.83,98.05,"Intermediate","Large",100,25,98.05,1.29899635691111,74.64,"P2 - High","BLOCK",119
18,"PL-0005","SCA","Critical",7,32.98,3.95,87.91,"Intermediate","Small",100,43.75,87.91,1.31454126575417,75.86,"P2 - High","BLOCK",116
19,"PL-0212","IaC","Medium",5,33.76,3.38,51.05,"Junior","Medium",50,31.25,51.05,1.34563108344029,41.65,"P3 - Medium","PASS WITH MONITORING",644
20,"PL-0259","DAST","Medium",4,35.62,5.44,45.65,"Senior","Medium",50,25,45.65,1.4197683409995,39.05,"P4 - Low","PASS WITH MONITORING",702
21,"PL-0298","Container","Low",2,36.09,6.4,29.78,"Intermediate","Medium",25,12.5,29.78,1.43850194909242,21.34,"P4 - Low","PASS",939
22,"PL-0024","SCA","Medium",6,47.36,2.73,50.73,"Intermediate","Medium",50,37.5,50.73,1.88770995591623,42.87,"P3 - Medium","PASS WITH MONITORING",614
23,"PL-0158","SAST","Medium",3,49.9,3.52,41.63,"Junior","Medium",50,18.75,41.63,1.98895115709924,36.86,"P4 - Low","PASS WITH MONITORING",736
24,"PL-0299","DAST","Low",3,50.16,4.32,18.84,"Senior","Large",25,18.75,18.84,1.99931442966128,19.91,"P4 - Low","PASS",966
25,"PL-0136","SCA","Medium",2,52.91,2.37,46.41,"Intermediate","Large",50,12.5,46.41,2.10892596637517,36.81,"P4 - Low","PASS WITH MONITORING",737
26,"PL-0292","SAST","Medium",6,53.82,3.87,56.27,"Junior","Small",50,37.5,56.27,2.14519742034231,44.28,"P3 - Medium","PASS WITH MONITORING",567
27,"PL-0146","Container","Medium",4,54.16,6.16,62.98,"Junior","Medium",50,25,62.98,2.15874939215421,43.46,"P3 - Medium","PASS WITH MONITORING",601
28,"PL-0109","SAST","Medium",1,54.4,3.3,45.33,"Senior","Large",50,6.25,45.33,2.16831548990378,35.3,"P4 - Low","PASS WITH MONITORING",747
29,"PL-0197","SAST","High",6,64.81,5.34,68.43,"Junior","Small",75,37.5,68.43,2.58324497979162,58.62,"P3 - Medium","PASS WITH MONITORING",333
30,"PL-0004","Container","Medium",4,66.27,6.82,73.29,"Junior","Large",50,25,73.29,2.64143874110154,46.09,"P3 - Medium","WAIT / PRIORITIZE",515
31,"PL-0226","SAST","Medium",5,68.88,3.99,54.67,"Junior","Small",50,31.25,54.67,2.74547005412817,42.69,"P3 - Medium","PASS WITH MONITORING",618
32,"PL-0215","SCA","Medium",3,70.31,3.24,48.89,"Intermediate","Medium",50,18.75,48.89,2.80246805321939,38.75,"P4 - Low","PASS WITH MONITORING",707
33,"PL-0245","SAST","High",7,71.61,4.15,97.14,"Intermediate","Small",75,43.75,97.14,2.85428441602959,67.07,"P2 - High","WAIT / PRIORITIZE",207
34,"PL-0114","DAST","Low",1,72.93,6.48,24.38,"Senior","Small",25,6.25,24.38,2.90689795365226,18.89,"P4 - Low","PASS",983
35,"PL-0262","SAST","High",10,73.54,4.85,86.54,"Junior","Medium",75,62.5,86.54,2.93121178543243,68.18,"P2 - High","WAIT / PRIORITIZE",193
36,"PL-0130","SAST","Medium",3,74.07,3.11,48.11,"Junior","Medium",50,18.75,48.11,2.95233691796274,38.57,"P4 - Low","PASS WITH MONITORING",710
37,"PL-0003","IaC","Critical",13,82.02,5.02,100,"Intermediate","Small",100,81.25,100,3.26921390591743,86.58,"P1 - Critical","BLOCK",46
38,"PL-0258","DAST","High",10,84.54,7.34,93.04,"Junior","Small",75,62.5,93.04,3.36965793228797,69.85,"P2 - High","WAIT / PRIORITIZE",161
39,"PL-0186","DAST","Low",1,84.58,4.38,26.38,"Intermediate","Small",25,6.25,26.38,3.3712522819129,19.43,"P4 - Low","PASS",976
40,"PL-0138","SAST","Low",2,86.9,4.24,27.25,"Junior","Large",25,12.5,27.25,3.4637245601588,20.91,"P4 - Low","PASS",949
41,"PL-0040","SAST","Low",4,88.47,4.92,23.45,"Senior","Small",25,25,23.45,3.52630278293727,22.47,"P4 - Low","PASS",917
42,"PL-0005","SAST","Medium",4,90.32,3.78,43.41,"Senior","Large",50,25,43.41,3.60004145309025,38.71,"P4 - Low","PASS WITH MONITORING",708
43,"PL-0033","SCA","Low",2,91.02,2.92,14.47,"Junior","Small",25,12.5,14.47,3.62794257152651,17.73,"P4 - Low","PASS",994
44,"PL-0103","SCA","Medium",6,93.15,2.7,58.61,"Senior","Medium",50,37.5,58.61,3.71284168905399,45.02,"P3 - Medium","PASS WITH MONITORING",545
45,"PL-0228","SAST","Medium",5,96.41,3.75,52.48,"Senior","Small",50,31.25,52.48,3.84278118348573,42.25,"P3 - Medium","PASS WITH MONITORING",630
46,"PL-0109","Container","Low",1,96.41,5.8,7.75,"Intermediate","Medium",25,6.25,7.75,3.84278118348573,14.82,"P4 - Low","PASS",1000
47,"PL-0157","DAST","Critical",9,97.81,6.83,100,"Junior","Medium",100,56.25,100,3.89858342035825,81.64,"P1 - Critical","BLOCK",88
48,"PL-0076","SAST","Medium",4,98.81,3.99,55.85,"Junior","Small",50,25,55.85,3.93844216098148,41.86,"P3 - Medium","PASS WITH MONITORING",637
49,"PL-0265","SCA","Medium",4,101.13,2.1,48.15,"Senior","Medium",50,25,48.15,4.03091443922738,39.94,"P4 - Low","PASS WITH MONITORING",680
50,"PL-0035","SAST","Medium",7,105.42,5.17,67.81,"Senior","Small",50,43.75,67.81,4.20190843650104,48.62,"P3 - Medium","PASS WITH MONITORING",453
51,"PL-0221","IaC","High",5,105.64,3.98,79.18,"Intermediate","Large",75,31.25,79.18,4.21067735943815,60.22,"P2 - High","WAIT / PRIORITIZE",318
52,"PL-0016","SAST","Medium",3,108.03,3.84,38.91,"Junior","Small",50,18.75,38.91,4.30593974952767,36.41,"P4 - Low","PASS",740
53,"PL-0220","DAST","Medium",3,111.9,5.23,52.57,"Junior","Medium",50,18.75,52.57,4.46019307573958,39.84,"P4 - Low","PASS WITH MONITORING",682
54,"PL-0248","DAST","Low",1,111.93,4.44,17.87,"Senior","Large",25,6.25,17.87,4.46138883795828,17.41,"P4 - Low","PASS",995
