"Framework","Deployment_Frequency","Lead_Time","Security_Vulnerabilities","MTTR","Change_Failure_Rate","Compliance","Automation","Release_Success"
"DevOps",16.8790487068956,19.3976206977674,37,7.8993540532031,17.921944095678,66.8979970465803,83.6031134526147,84.4614441125753
"DevOps",17.5396450210334,17.624825952867,30,6.16918847266375,16.0692978389187,65.432745417408,81.7321918797757,82.7769339479981
"DevOps",21.1174166282982,14.4697098866073,49,6.66945529988004,21.1359169918899,69.5275956225829,83.1950998417771,82.0222426862826
"DevOps",18.1410167828492,16.0863881184642,37,7.7408145237259,22.8466359696216,80.7587857487772,86.6187371781902,89.6538226344037
"DevOps",18.2585754703219,14.1713201041623,40,7.98997160862711,17.9109180868505,72.2788238730626,82.5483324783056,87.8957738154061
"DevOps",21.4301299737666,14.0475062107688,41,5.06149529854662,19.6868020362092,73.6571719911394,85.2068050807015,93.5517151108319
"DevOps",18.9218324119784,13.4227943242995,45,7.10719040701615,17.7077625044921,71.0507668116123,83.4916218493488,89.7210253247891
"DevOps",15.4698775307869,13.810765465081,31,7.60877901173463,21.0493656531065,74.3524636597691,82.7344815592354,90.5490876732478
"DevOps",16.6262942962129,18.3018149346734,39,5.54917568650937,14.5314978172204,67.2416022849143,82.5443377527376,92.0031507560049
"DevOps",17.1086760598001,14.8919437498291,41,7.48062559987522,24.9625806719834,77.7895523328432,86.1652932178323,86.4978427061051
"DevOps",20.4481635948789,15.2384904728552,39,6.1718257296032,16.189406256635,74.9235263012068,76.9909605051574,89.5302937846855
"DevOps",18.7196276541147,15.4873748591982,42,8.02025301216443,13.6234517566857,67.9677358865415,76.57926908337,90.6063798107325
"DevOps",18.8015429011881,17.4649517569707,37,7.53848203210264,16.9472465184208,72.27276622906,83.3677840135888,92.1080550640091
"DevOps",18.2213654318902,13.9678723381104,35,7.76905229499561,18.440125452435,75.5816580974956,80.5212413434676,90.2879534389791
"DevOps",16.8883177304918,13.0149856992159,42,7.12071932928703,22.8708636230407,74.788654910273,81.2960208467398,89.263441519112
"DevOps",21.5738262736062,18.3513938648064,41,7.86364843415775,20.733629030314,79.4096700793844,83.9651095086856,85.3953278581863
"DevOps",18.9957009564585,14.1176735661894,39,8.38051452831454,18.4273752961374,68.9350612255257,84.0131801913963,90.1886810828731
"DevOps",14.0667656867407,13.5538680601203,40,8.96624801545563,13.8315494280355,77.580683077452,79.9493179865529,89.5007976172549
"DevOps",19.4027118031274,12.5274537622334,30,6.97160494525094,15.4018867659837,77.1827400497061,79.7498245240116,89.9027507611207
"DevOps",17.0544171845441,12.4305685553644,39,4.7509489096676,17.5101452033121,71.1875843404857,81.2943944360315,89.2709351367168
"DevOps",15.8643525880263,13.852053041404,38,7.03152600459399,25.6590783403818,67.1203665358906,85.252071157179,87.39448586587
"DevOps",17.5640501706834,16.2359716343331,45,7.20556120844997,12.4193172773448,66.5542740455774,82.704081946716,87.769402304698
"DevOps",15.9479911033855,17.2196962778594,33,6.8446546528556,21.3931639555381,74.2889347897248,86.7320300432928,90.0620923398446
"DevOps",16.5422175414177,16.4151767076712,41,7.56828862077707,16.4182972282982,71.6443663313955,80.9694525183201,88.5148945207736
"DevOps",16.7499214643015,14.2726854058095,41,8.01067796451427,22.9979726999623,80.8955133342572,85.502670420883,85.509674277019
"DevOps",14.6266133785152,15.1194998747692,37,6.48201756983218,14.5823980800798,74.675689802481,84.532009244069,87.129522640583
"DevOps",19.675574088989,13.5908070726399,30,6.70590467284389,18.4308697039882,70.1402756241825,83.4483338436003,84.0426228274705
"DevOps",18.306746235673,13.565563676852,36,7.39784220880034,14.7013471748917,66.8722887575144,82.6588028271139,85.0989042919933
"DevOps",15.7237261259761,16.7693009979538,40,6.44977625851086,20.710549279085,69.0879916269737,79.8804704114299,87.5661667895935
"DevOps",20.5076298421399,12.9688148427929,39,7.09126738348824,22.4513384662143,73.7144419644867,80.5638499633231,82.6056023308752
"DevOps",18.8529284429536,18.9105879309849,31,5.0382924011147,23.8521630192035,69.7453267647168,81.9175819828339,82.9343725762253
"DevOps",17.4098570340155,14.8193608120683,38,5.88010027860238,20.3928019727686,74.5711506011534,81.1955555627171,91.3076955983083
"DevOps",19.79025132209,15.4290776532584,32,5.67224452439588,23.5297987637335,70.3283097391511,84.7728978735449,86.2701432273657
"DevOps",19.7562669750661,13.5229445905209,44,6.14637630327276,21.7392717259849,71.4722004560276,80.5627315072543,82.4449248113455
"DevOps",19.643162163275,13.8512226204735,24,6.30669547206933,17.604375264528,68.3474516359609,80.7184923136487,87.6614102817131
"DevOps",19.3772805082002,12.3659677353895,40,7.38230514254637,19.4311117148541,81.5252179245435,79.0627236497373,91.9632078016645
"DevOps",19.1078353070752,14.6341492232545,46,7.98211300252264,15.0840173655722,73.663108657352,80.4466546858267,89.9867628908039
