"Pipeline_ID","Stage","Time","Vulnerabilities","Severity","Status"
1,"Deployment",9,1,"Low","Completed"
2,"Deployment",9,2,"Low","Completed"
3,"Dependency Scan",8,0,"Medium","Completed"
4,"Security Testing",8,2,"Medium","Completed"
5,"Dependency Scan",2,4,"Low","Completed"
6,"Static Analysis",10,1,"Medium","Completed"
7,"Static Analysis",9,2,"Low","Completed"
8,"Security Testing",4,5,"Medium","Completed"
9,"Dependency Scan",9,0,"Low","Completed"
10,"Build",7,3,"Medium","Completed"
11,"Unit Testing",2,2,"Low","Completed"
12,"Security Testing",5,1,"Low","Completed"
13,"Security Testing",4,2,"Low","Completed"
14,"Code Commit",6,4,"Low","Completed"
15,"Static Analysis",8,2,"Low","Completed"
16,"Dependency Scan",3,4,"Low","Completed"
17,"Build",9,3,"Medium","Completed"
18,"Dependency Scan",9,2,"Low","Failed"
19,"Dependency Scan",5,5,"Low","Completed"
20,"Code Commit",9,3,"Low","Completed"
21,"Unit Testing",7,5,"Low","Completed"
22,"Code Commit",3,3,"Low","Completed"
23,"Code Commit",2,4,"Medium","Completed"
24,"Build",10,4,"High","Completed"
25,"Dependency Scan",4,1,"High","Completed"
26,"Static Analysis",6,3,"High","Completed"
27,"Deployment",6,0,"Medium","Completed"
28,"Static Analysis",10,1,"Medium","Completed"
29,"Code Commit",5,5,"High","Completed"
30,"Security Testing",4,1,"Low","Completed"
31,"Dependency Scan",4,2,"Medium","Completed"
32,"Unit Testing",7,3,"Low","Completed"
33,"Security Testing",5,1,"Low","Completed"
34,"Code Commit",8,2,"Medium","Completed"
35,"Dependency Scan",10,1,"Low","Completed"
36,"Deployment",4,4,"Low","Completed"
37,"Build",7,4,"Low","Completed"
38,"Unit Testing",6,4,"Medium","Completed"
39,"Deployment",10,3,"Low","Completed"
40,"Static Analysis",5,1,"Medium","Completed"
41,"Build",4,2,"Medium","Completed"
42,"Deployment",8,3,"Low","Completed"
43,"Code Commit",5,1,"Low","Completed"
44,"Code Commit",6,1,"Low","Completed"
45,"Static Analysis",9,4,"Medium","Completed"
46,"Deployment",8,3,"Low","Completed"
47,"Dependency Scan",9,5,"Low","Completed"
48,"Unit Testing",7,4,"Low","Completed"
49,"Build",9,1,"Low","Completed"
50,"Deployment",8,2,"Low","Completed"
51,"Build",2,0,"Low","Completed"
52,"Dependency Scan",7,2,"Low","Completed"
